log header,filename,filesize,chunksize,conns,start,end,delta
Level 100:ftclient:172.19.49.105:56374,large_file.raw,1073741824,1.13E+15,50,1524461407,1524461418,10.97188997
Level 100:ftclient:172.19.49.105:47850,large_file.raw,1073741824,1.13E+15,49,1524461419,1524461431,11.12440014
Level 100:ftclient:172.19.49.105:46762,large_file.raw,1073741824,1.13E+15,48,1524461432,1524461443,11.07835007
Level 100:ftclient:172.19.49.105:43776,large_file.raw,1073741824,1.13E+15,47,1524461445,1524461456,11.26809001
Level 100:ftclient:172.19.49.105:40776,large_file.raw,1073741824,1.13E+15,46,1524461457,1524461469,11.55246997
Level 100:ftclient:172.19.49.105:41560,large_file.raw,1073741824,1.13E+15,45,1524461470,1524461482,11.65647006
Level 100:ftclient:172.19.49.105:56868,large_file.raw,1073741824,1.13E+15,44,1524461484,1524461495,11.4286201
Level 100:ftclient:172.19.49.105:38720,large_file.raw,1073741824,1.13E+15,43,1524461497,1524461508,11.11104012
Level 100:ftclient:172.19.49.105:39204,large_file.raw,1073741824,1.13E+15,42,1524461509,1524461520,11.19414997
Level 100:ftclient:172.19.49.105:57412,large_file.raw,1073741824,1.13E+15,41,1524461522,1524461533,11.15478992
Level 100:ftclient:172.19.49.105:43968,large_file.raw,1073741824,1.13E+15,40,1524461534,1524461547,12.12740993
Level 100:ftclient:172.19.49.105:41958,large_file.raw,1073741824,1.13E+15,39,1524461548,1524461559,11.10677004
Level 100:ftclient:172.19.49.105:47936,large_file.raw,1073741824,1.13E+15,38,1524461561,1524461573,11.99884987
Level 100:ftclient:172.19.49.105:37810,large_file.raw,1073741824,1.13E+15,37,1524461574,1524461585,11.29831004
Level 100:ftclient:172.19.49.105:43098,large_file.raw,1073741824,1.13E+15,36,1524461587,1524461598,10.94039011
Level 100:ftclient:172.19.49.105:52446,large_file.raw,1073741824,1.13E+15,35,1524461599,1524461610,11.01991987
Level 100:ftclient:172.19.49.105:53210,large_file.raw,1073741824,1.13E+15,34,1524461612,1524461623,10.82319021
