log header,filename,filesize,chunksize,conns,start,end,delta
Level 100:ftclient:172.19.49.105:41822,big.txt,6488666,1.1259E+15,50,1524523376,1524523376,0.11364007
Level 100:ftclient:172.19.49.105:37626,big.txt,6488666,1.1259E+15,49,1524523376,1524523376,0.106829882
Level 100:ftclient:172.19.49.105:58642,big.txt,6488666,1.1259E+15,48,1524523376,1524523376,0.093300104
Level 100:ftclient:172.19.49.105:47126,big.txt,6488666,1.1259E+15,47,1524523376,1524523377,0.087739944
Level 100:ftclient:172.19.49.105:33748,big.txt,6488666,1.1259E+15,46,1524523377,1524523377,0.085560083
Level 100:ftclient:172.19.49.105:38980,big.txt,6488666,1.1259E+15,45,1524523377,1524523377,0.092049837
Level 100:ftclient:172.19.49.105:42000,big.txt,6488666,1.1259E+15,44,1524523377,1524523377,0.086560011
Level 100:ftclient:172.19.49.105:54152,big.txt,6488666,1.1259E+15,43,1524523377,1524523377,0.087960005
Level 100:ftclient:172.19.49.105:39692,big.txt,6488666,1.1259E+15,42,1524523377,1524523377,0.085940123
Level 100:ftclient:172.19.49.105:54964,big.txt,6488666,1.1259E+15,41,1524523377,1524523377,0.086069822
Level 100:ftclient:172.19.49.105:32908,big.txt,6488666,1.1259E+15,40,1524523378,1524523378,0.090960026
Level 100:ftclient:172.19.49.105:53000,big.txt,6488666,1.1259E+15,39,1524523378,1524523378,0.088169813
Level 100:ftclient:172.19.49.105:42548,big.txt,6488666,1.1259E+15,38,1524523378,1524523378,0.084520102
Level 100:ftclient:172.19.49.105:52538,big.txt,6488666,1.1259E+15,37,1524523378,1524523378,0.126100063
Level 100:ftclient:172.19.49.105:36016,big.txt,6488666,1.1259E+15,36,1524523378,1524523378,0.09627986
Level 100:ftclient:172.19.49.105:48600,big.txt,6488666,1.1259E+15,35,1524523378,1524523378,0.079590082
Level 100:ftclient:172.19.49.105:51782,big.txt,6488666,1.1259E+15,34,1524523378,1524523379,0.087349892
Level 100:ftclient:172.19.49.105:55630,big.txt,6488666,1.1259E+15,33,1524523379,1524523379,0.085489988
Level 100:ftclient:172.19.49.105:51702,big.txt,6488666,1.1259E+15,32,1524523379,1524523379,0.10007
Level 100:ftclient:172.19.49.105:55440,big.txt,6488666,1.1259E+15,31,1524523379,1524523384,5.030339956
Level 100:ftclient:172.19.49.105:50024,big.txt,6488666,1.1259E+15,30,1524523384,1524523384,0.080549955
Level 100:ftclient:172.19.49.105:58260,big.txt,6488666,1.1259E+15,29,1524523384,1524523384,0.082119942
Level 100:ftclient:172.19.49.105:40770,big.txt,6488666,1.1259E+15,28,1524523384,1524523384,0.081529856
Level 100:ftclient:172.19.49.105:50282,big.txt,6488666,1.1259E+15,27,1524523385,1524523385,0.081700087
Level 100:ftclient:172.19.49.105:42316,big.txt,6488666,1.1259E+15,26,1524523385,1524523385,0.079790115
Level 100:ftclient:172.19.49.105:60146,big.txt,6488666,1.1259E+15,25,1524523385,1524523385,0.080119848
Level 100:ftclient:172.19.49.105:60748,big.txt,6488666,1.1259E+15,24,1524523385,1524523385,0.083310127
Level 100:ftclient:172.19.49.105:51976,big.txt,6488666,1.1259E+15,23,1524523385,1524523385,0.078349829
Level 100:ftclient:172.19.49.105:49934,big.txt,6488666,1.1259E+15,22,1524523385,1524523385,0.090270042
Level 100:ftclient:172.19.49.105:33524,big.txt,6488666,1.1259E+15,21,1524523385,1524523385,0.086779833
