chunksize,conns,delta
1073741824,50,0.044649839
1073741824,49,0.046769857
1073741824,48,0.047250032
1073741824,47,0.04200983
1073741824,50,0.045539856
1073741824,49,0.047930002
1073741824,48,0.041499853
1073741824,47,0.039230108
1073741824,46,0.038460016
1073741824,45,0.044310093
1073741824,44,0.040430069
1073741824,43,0.038180113
1073741824,42,0.038179874
1073741824,41,0.037910223
1073741824,40,0.038980007
1073741824,39,0.034719944
1073741824,38,0.034229994
1073741824,37,0.033239841
1073741824,36,0.033600092
1073741824,35,0.038579941
1073741824,34,0.033499956
1073741824,33,0.033119917
1073741824,32,0.041769981
1073741824,31,0.031410217
1073741824,30,0.030519962
1073741824,29,0.02741003
1073741824,28,0.030879974
1073741824,27,0.029599905
1073741824,26,0.038719893
1073741824,25,0.028079987
1073741824,24,0.026130199
1073741824,23,0.025029898
1073741824,22,0.025650024
1073741824,21,0.02410984
1073741824,20,0.023869991
1073741824,19,0.024520159
1073741824,18,0.024780035
1073741824,17,0.021929979
1073741824,16,0.021049976
1073741824,15,0.021620035
1073741824,14,0.022160053
1073741824,13,0.020529985
1073741824,12,0.025020123
1073741824,11,0.022580147
1073741824,10,0.021080017
1073741824,9,0.022429943
1073741824,8,0.021610022
1073741824,7,0.021709919
1073741824,6,0.01884985
1073741824,5,0.019710064
1073741824,4,0.021310091
1073741824,3,0.016220093
1073741824,2,0.019170046
1073741824,1,0.033419847
536870912,50,0.047250032
536870912,49,0.043869972
536870912,48,0.03847003
536870912,47,0.036080122
536870912,46,0.036179781
536870912,45,0.039579868
536870912,44,0.038579941
536870912,43,0.053560019
536870912,42,0.035069942
536870912,41,0.034579992
536870912,40,0.03365016
536870912,39,0.034060001
536870912,38,0.034749985
536870912,37,0.033250093
536870912,36,0.035809994
536870912,35,0.233850002
536870912,34,0.036380053
536870912,33,0.035020113
1073741824,50,0.056129932
1073741824,49,0.042109966
1073741824,48,0.040009975
1073741824,47,0.04467988
1073741824,46,0.039649963
1073741824,45,0.03903985
1073741824,44,0.038729906
1073741824,43,0.043770075
1073741824,42,0.03760004
1073741824,41,0.037659883
1073741824,40,0.035009861
1073741824,39,0.034009933
1073741824,38,0.044260025
1073741824,37,0.037389994
1073741824,36,0.043580055
1073741824,35,0.035360098
1073741824,34,0.035840034
1073741824,33,0.038609982
1073741824,32,0.039220095
1073741824,31,0.036350012
1073741824,30,0.038409948
1073741824,29,0.036149979
1073741824,28,0.034440041
1073741824,27,0.037209988
1073741824,26,0.035260201
1073741824,25,0.034090042
1073741824,24,0.031769991
1073741824,23,0.032059908
1073741824,22,0.033169985
1073741824,21,0.031690121
1073741824,20,0.027840137
1073741824,19,0.028369904
1073741824,18,0.028029919
1073741824,17,0.026749849
1073741824,16,0.027439833
1073741824,15,0.026409864
1073741824,14,0.025000095
1073741824,13,0.023769855
1073741824,12,0.022469997
1073741824,11,0.022230148
1073741824,10,0.022880077
1073741824,9,0.022599936
1073741824,8,0.020550013
1073741824,7,0.023490191
1073741824,6,0.020709991
1073741824,5,0.021299839
1073741824,4,0.019330025
1073741824,3,0.018229961
1073741824,2,0.018099785
1073741824,1,0.020620108
536870912,50,0.052299976
536870912,49,0.047539949
536870912,48,0.048979998
536870912,47,0.043260098
536870912,46,5.021049976
536870912,45,0.041830063
536870912,44,0.038079977
536870912,43,0.041079998
536870912,42,0.036120176
536870912,41,0.037339926
536870912,40,0.035650015
536870912,39,0.035290003
536870912,38,0.034109831
536870912,37,0.03421998
536870912,36,0.033200026
536870912,35,5.030139923
536870912,34,5.025700092
536870912,33,0.033760071
536870912,32,0.033740044
536870912,31,0.03192997
536870912,30,0.038080215
536870912,29,0.033699989
536870912,28,0.029619932
536870912,27,0.02925992
536870912,26,0.027199984
536870912,25,0.027519941
536870912,24,0.028679848
536870912,23,5.023230076
536870912,22,0.026639938
536870912,21,0.026149988
536870912,20,0.034430027
536870912,19,0.026640177
536870912,18,0.032730103
536870912,17,0.025330067
536870912,16,0.024589777
536870912,15,0.033890009
536870912,14,0.044569969
536870912,13,0.036149979
536870912,12,0.033149958
536870912,11,0.025880098
536870912,10,0.02410984
536870912,9,0.024359941
536870912,8,0.02497983
536870912,7,0.025660038
536870912,6,0.021670103
536870912,5,0.024089813
536870912,4,0.023309946
536870912,3,0.022690058
536870912,2,0.023740053
536870912,1,0.029460192
268435456,50,0.046600103
268435456,49,0.043869972
268435456,48,0.044789791
268435456,47,0.041790009
268435456,46,0.043950081
268435456,45,0.041019917
268435456,44,0.04445982
268435456,43,0.039129972
268435456,42,5.024750233
268435456,41,0.041079998
268435456,40,0.036489964
268435456,39,0.036040068
268435456,38,0.035160065
268435456,37,0.033919811
268435456,36,0.033980131
268435456,35,0.032239914
268435456,34,0.033329964
268435456,33,0.033200026
268435456,32,0.031919956
268435456,31,0.032019854
268435456,30,0.04234004
268435456,29,0.029789925
268435456,28,0.032789946
268435456,27,0.027500153
268435456,26,0.029040098
268435456,25,0.028980017
268435456,24,0.084300041
268435456,23,0.028470039
268435456,22,0.025279999
268435456,21,0.026459932
268435456,20,0.027029991
268435456,19,0.025460005
268435456,18,0.025239944
268435456,17,0.032959938
268435456,16,0.023479939
268435456,15,0.027160168
268435456,14,0.030900002
268435456,13,0.036040068
268435456,12,0.025390148
268435456,11,0.029289961
268435456,10,0.024290085
268435456,9,0.021149874
268435456,8,0.023550034
268435456,7,0.021460056
268435456,6,0.019599915
268435456,5,0.020879984
268435456,4,0.018660069
268435456,3,0.018300056
268435456,2,0.019899845
268435456,1,0.02101016
134217728,50,0.044119835
134217728,49,0.040529966
134217728,48,5.036099911
134217728,47,0.044169903
134217728,46,0.039589882
134217728,45,0.040330172
134217728,44,0.038219929
134217728,43,0.037630081
134217728,42,0.036610126
134217728,41,0.038749933
134217728,40,0.038110018
134217728,39,0.037060022
134217728,38,0.03309989
134217728,37,0.035199881
134217728,36,0.041199923
134217728,35,0.033130169
134217728,34,0.031830072
134217728,33,0.038689852
134217728,32,0.031960011
134217728,31,0.030750036
134217728,30,0.033390045
134217728,29,0.042219877
134217728,28,0.028939962
134217728,27,0.028970003
134217728,26,0.027519941
134217728,25,0.027689934
134217728,24,0.026489973
134217728,23,0.026180029
134217728,22,0.035109997
134217728,21,0.026270151
134217728,20,0.023220062
134217728,19,0.026299953
134217728,18,0.022920132
134217728,17,0.025850058
134217728,16,0.025049925
134217728,15,0.023119926
134217728,14,0.024569988
134217728,13,0.021159887
134217728,12,0.020770073
134217728,11,0.020920038
134217728,10,0.022629976
134217728,9,0.021620035
134217728,8,0.020840168
134217728,7,0.020190001
134217728,6,0.019780159
134217728,5,0.019410133
134217728,4,0.018069983
134217728,3,0.018350124
134217728,2,0.027950048
134217728,1,0.037400007
67108864,50,0.044860125
67108864,49,0.046759844
67108864,48,0.041999817
67108864,47,0.049299955
67108864,46,0.047120094
67108864,45,0.041150093
67108864,44,0.05498004
67108864,43,0.037759781
67108864,42,0.03392005
67108864,41,0.035969973
67108864,40,0.03876996
67108864,39,0.036190033
67108864,38,0.034450054
67108864,37,0.040100098
67108864,36,0.031740189
67108864,35,0.031619787
67108864,34,0.036020041
67108864,33,0.029430151
67108864,32,0.029839993
67108864,31,0.03572011
67108864,30,0.027419806
67108864,29,0.028419971
67108864,28,0.029129982
67108864,27,0.041209936
67108864,26,0.034100056
67108864,25,0.026980162
67108864,24,0.029089928
67108864,23,0.027830124
67108864,22,0.025099993
67108864,21,0.025000095
67108864,20,0.029659986
67108864,19,0.026950121
67108864,18,5.019050121
67108864,17,0.025629997
67108864,16,0.021559954
67108864,15,0.022140026
67108864,14,0.022809982
67108864,13,0.023459911
67108864,12,0.020650148
67108864,11,0.022849798
67108864,10,0.021640062
67108864,9,0.021160126
67108864,8,0.02008009
67108864,7,0.027420044
67108864,6,0.019690037
67108864,5,0.021740198
67108864,4,0.018569946
67108864,3,0.020470142
67108864,2,0.018650055
67108864,1,0.021109819
33554432,50,0.047559977
33554432,49,0.054369926
33554432,48,0.043850183
33554432,47,0.094439983
33554432,46,0.040979862
33554432,45,0.044229984
33554432,44,0.043669939
33554432,43,0.047449827
33554432,42,0.039649963
33554432,41,0.038980007
33554432,40,0.044369936
33554432,39,0.362669945
33554432,38,5.01782012
33554432,37,0.037879944
33554432,36,0.033529997
33554432,35,0.033759832
33554432,34,0.034470081
33554432,33,0.032559872
33554432,32,0.031080008
33554432,31,0.04163003
33554432,30,0.036139965
33554432,29,0.029569864
33554432,28,0.028300047
33554432,27,0.035130024
33554432,26,0.029799938
33554432,25,0.030519962
33554432,24,0.030960083
33554432,23,0.040620089
33554432,22,0.028810024
33554432,21,0.02937007
33554432,20,0.029060125
33554432,19,0.023079872
