log header,filename,filesize,chunksize,conns,start,end,delta
Level 100:ftclient:172.19.49.105:54690,big.txt,6488666,1073741824,50,1524526873,1524526873,0.090850115
Level 100:ftclient:172.19.49.105:33330,big.txt,6488666,1073741824,49,1524526873,1524526873,0.089740038
Level 100:ftclient:172.19.49.105:47208,big.txt,6488666,1073741824,48,1524526873,1524526873,0.079820156
Level 100:ftclient:172.19.49.105:51478,big.txt,6488666,1073741824,47,1524526873,1524526873,0.110860109
Level 100:ftclient:172.19.49.105:44606,big.txt,6488666,1073741824,46,1524526873,1524526873,0.082790136
Level 100:ftclient:172.19.49.105:56452,big.txt,6488666,1073741824,45,1524526874,1524526874,0.088340044
Level 100:ftclient:172.19.49.105:60166,big.txt,6488666,1073741824,44,1524526874,1524526874,0.0832901
Level 100:ftclient:172.19.49.105:41330,big.txt,6488666,1073741824,43,1524526874,1524526874,0.083979845
Level 100:ftclient:172.19.49.105:33260,big.txt,6488666,1073741824,42,1524526874,1524526874,0.084559917
Level 100:ftclient:172.19.49.105:48798,big.txt,6488666,1073741824,41,1524526874,1524526874,0.078049898
Level 100:ftclient:172.19.49.105:37518,big.txt,6488666,1073741824,40,1524526874,1524526874,0.082250118
Level 100:ftclient:172.19.49.105:51106,big.txt,6488666,1073741824,39,1524526874,1524526875,0.08081007
Level 100:ftclient:172.19.49.105:46436,big.txt,6488666,1073741824,38,1524526875,1524526875,0.077719927
Level 100:ftclient:172.19.49.105:50110,big.txt,6488666,1073741824,37,1524526875,1524526875,0.086019993
Level 100:ftclient:172.19.49.105:45882,big.txt,6488666,1073741824,36,1524526875,1524526875,0.078560114
Level 100:ftclient:172.19.49.105:54046,big.txt,6488666,1073741824,35,1524526875,1524526875,0.085429907
Level 100:ftclient:172.19.49.105:33096,big.txt,6488666,1073741824,34,1524526875,1524526875,0.076830149
Level 100:ftclient:172.19.49.105:58336,big.txt,6488666,1073741824,33,1524526875,1524526875,0.078920126
Level 100:ftclient:172.19.49.105:40440,big.txt,6488666,1073741824,32,1524526875,1524526876,0.080869913
Level 100:ftclient:172.19.49.105:34568,big.txt,6488666,1073741824,31,1524526876,1524526876,0.076870203
Level 100:ftclient:172.19.49.105:41086,big.txt,6488666,1073741824,30,1524526876,1524526876,0.077869892
Level 100:ftclient:172.19.49.105:58870,big.txt,6488666,1073741824,29,1524526876,1524526876,0.078890085
Level 100:ftclient:172.19.49.105:57528,big.txt,6488666,1073741824,28,1524526876,1524526876,0.077719927
Level 100:ftclient:172.19.49.105:55636,big.txt,6488666,1073741824,27,1524526876,1524526876,0.08010006
Level 100:ftclient:172.19.49.105:49398,big.txt,6488666,1073741824,26,1524526876,1524526876,0.078730106
Level 100:ftclient:172.19.49.105:58152,big.txt,6488666,1073741824,25,1524526876,1524526877,0.086969852
Level 100:ftclient:172.19.49.105:48420,big.txt,6488666,1073741824,24,1524526877,1524526877,0.080869913
Level 100:ftclient:172.19.49.105:35694,big.txt,6488666,1073741824,23,1524526877,1524526877,0.082910061
Level 100:ftclient:172.19.49.105:52006,big.txt,6488666,1073741824,22,1524526877,1524526877,0.078870058
Level 100:ftclient:172.19.49.105:45116,big.txt,6488666,1073741824,21,1524526877,1524526877,0.072570086
Level 100:ftclient:172.19.49.105:48126,big.txt,6488666,1073741824,20,1524526877,1524526877,0.073459864
Level 100:ftclient:172.19.49.105:51098,big.txt,6488666,1073741824,19,1524526877,1524526877,0.073959827
Level 100:ftclient:172.19.49.105:47550,big.txt,6488666,1073741824,18,1524526877,1524526878,0.081350088
Level 100:ftclient:172.19.49.105:52218,big.txt,6488666,1073741824,17,1524526878,1524526878,0.074340105
Level 100:ftclient:172.19.49.105:53680,big.txt,6488666,1073741824,16,1524526878,1524526878,0.075779915
Level 100:ftclient:172.19.49.105:36980,big.txt,6488666,1073741824,15,1524526878,1524526878,0.074279785
